Timestamp,CPU_Total%,GPU_Total%,RAM_Used_GB,RAM_Total_GB,Power_Total_mW,Temp_GPU_C,Temp_CPU_C
23:46:16,0.0,43.5,0.00,0.00,0,0,0
23:46:17,0.0,66.6,0.00,0.00,0,0,0
23:46:18,0.0,29.9,0.00,0.00,0,0,0
23:46:19,0.0,5.0,0.00,0.00,0,0,0
23:46:20,0.0,42.6,0.00,0.00,0,0,0
23:46:21,0.0,79.7,0.00,0.00,0,0,0
23:46:22,0.0,43.4,0.00,0.00,0,0,0
23:46:23,0.0,80.1,0.00,0.00,0,0,0
23:46:24,0.0,42.6,0.00,0.00,0,0,0
23:46:25,0.0,13.1,0.00,0.00,0,0,0
23:46:26,0.0,34.5,0.00,0.00,0,0,0
23:46:27,0.0,2.9,0.00,0.00,0,0,0
23:46:28,0.0,31.5,0.00,0.00,0,0,0
23:46:29,0.0,65.8,0.00,0.00,0,0,0
23:46:30,0.0,55.8,0.00,0.00,0,0,0
23:46:31,0.0,5.9,0.00,0.00,0,0,0
23:46:32,0.0,56.1,0.00,0.00,0,0,0
23:46:33,0.0,6.1,0.00,0.00,0,0,0
23:46:34,0.0,34.6,0.00,0.00,0,0,0
23:46:35,0.0,59.2,0.00,0.00,0,0,0
23:46:36,0.0,60.8,0.00,0.00,0,0,0
23:46:37,0.0,77.7,0.00,0.00,0,0,0
23:46:38,0.0,60.8,0.00,0.00,0,0,0
23:46:39,0.0,13.0,0.00,0.00,0,0,0
23:46:40,0.0,31.4,0.00,0.00,0,0,0
23:46:41,0.0,53.8,0.00,0.00,0,0,0
23:46:42,0.0,31.1,0.00,0.00,0,0,0
23:46:43,0.0,72.6,0.00,0.00,0,0,0
23:46:44,0.0,64.0,0.00,0.00,0,0,0
23:46:45,0.0,18.4,0.00,0.00,0,0,0
23:46:46,0.0,27.5,0.00,0.00,0,0,0
23:46:47,0.0,19.5,0.00,0.00,0,0,0
23:46:48,0.0,26.9,0.00,0.00,0,0,0
23:46:49,0.0,68.3,0.00,0.00,0,0,0
23:46:50,0.0,67.8,0.00,0.00,0,0,0
23:46:51,0.0,68.7,0.00,0.00,0,0,0
23:46:52,0.0,52.4,0.00,0.00,0,0,0
23:46:53,0.0,25.5,0.00,0.00,0,0,0
23:46:54,0.0,20.9,0.00,0.00,0,0,0
23:46:55,0.0,62.6,0.00,0.00,0,0,0
23:46:56,0.0,20.8,0.00,0.00,0,0,0
23:46:57,0.0,62.8,0.00,0.00,0,0,0
23:46:58,0.0,58.2,0.00,0.00,0,0,0
23:46:59,0.0,8.5,0.00,0.00,0,0,0
23:47:00,0.0,14.8,0.00,0.00,0,0,0
23:47:01,0.0,9.2,0.00,0.00,0,0,0
23:47:02,0.0,33.3,0.00,0.00,0,0,0
23:47:03,0.0,56.9,0.00,0.00,0,0,0
23:47:04,0.0,61.4,0.00,0.00,0,0,0
23:47:05,0.0,75.7,0.00,0.00,0,0,0
23:47:06,0.0,61.3,0.00,0.00,0,0,0
23:47:07,0.0,14.9,0.00,0.00,0,0,0
23:47:08,0.0,31.2,0.00,0.00,0,0,0
23:47:09,0.0,53.6,0.00,0.00,0,0,0
23:47:10,0.0,30.3,0.00,0.00,0,0,0
23:47:11,0.0,73.0,0.00,0.00,0,0,0
23:47:12,0.0,62.9,0.00,0.00,0,0,0
23:47:13,0.0,19.4,0.00,0.00,0,0,0
23:47:14,0.0,26.5,0.00,0.00,0,0,0
23:47:15,0.0,19.0,0.00,0.00,0,0,0
23:47:16,0.0,26.7,0.00,0.00,0,0,0
23:47:17,0.0,69.1,0.00,0.00,0,0,0
23:47:18,0.0,65.7,0.00,0.00,0,0,0
23:47:19,0.0,71.7,0.00,0.00,0,0,0
23:47:20,0.0,48.9,0.00,0.00,0,0,0
23:47:21,0.0,19.0,0.00,0.00,0,0,0
23:47:22,0.0,28.0,0.00,0.00,0,0,0
23:47:23,0.0,69.7,0.00,0.00,0,0,0
23:47:24,0.0,28.0,0.00,0.00,0,0,0
23:47:25,0.0,69.2,0.00,0.00,0,0,0
23:47:26,0.0,51.9,0.00,0.00,0,0,0
23:47:27,0.0,3.2,0.00,0.00,0,0,0
23:47:28,0.0,51.6,0.00,0.00,0,0,0
23:47:29,0.0,4.1,0.00,0.00,0,0,0
23:47:30,0.0,37.2,0.00,0.00,0,0,0
23:47:31,0.0,64.4,0.00,0.00,0,0,0
23:47:32,0.0,56.5,0.00,0.00,0,0,0
23:47:33,0.0,79.6,0.00,0.00,0,0,0
23:47:34,0.0,55.9,0.00,0.00,0,0,0
23:47:35,0.0,5.2,0.00,0.00,0,0,0
23:47:36,0.0,34.9,0.00,0.00,0,0,0
23:47:37,0.0,59.2,0.00,0.00,0,0,0
23:47:38,0.0,34.6,0.00,0.00,0,0,0
23:47:39,0.0,77.1,0.00,0.00,0,0,0
23:47:40,0.0,60.6,0.00,0.00,0,0,0
23:47:41,0.0,12.8,0.00,0.00,0,0,0
23:47:42,0.0,31.6,0.00,0.00,0,0,0
23:47:43,0.0,12.9,0.00,0.00,0,0,0
23:47:44,0.0,31.6,0.00,0.00,0,0,0
23:47:45,0.0,73.4,0.00,0.00,0,0,0
23:47:46,0.0,62.8,0.00,0.00,0,0,0
23:47:47,0.0,73.4,0.00,0.00,0,0,0
23:47:48,0.0,48.8,0.00,0.00,0,0,0
23:47:49,0.0,19.5,0.00,0.00,0,0,0
23:47:50,0.0,26.3,0.00,0.00,0,0,0
23:47:51,0.0,67.5,0.00,0.00,0,0,0
23:47:52,0.0,27.0,0.00,0.00,0,0,0
23:47:53,0.0,67.3,0.00,0.00,0,0,0
23:47:54,0.0,53.4,0.00,0.00,0,0,0
23:47:55,0.0,3.2,0.00,0.00,0,0,0
23:47:56,0.0,22.5,0.00,0.00,0,0,0
23:47:57,0.0,4.1,0.00,0.00,0,0,0
23:47:58,0.0,37.0,0.00,0.00,0,0,0
23:47:59,0.0,62.3,0.00,0.00,0,0,0
23:48:00,0.0,59.3,0.00,0.00,0,0,0
23:48:01,0.0,17.6,0.00,0.00,0,0,0
23:48:02,0.0,61.0,0.00,0.00,0,0,0
23:48:03,0.0,20.4,0.00,0.00,0,0,0
23:48:04,0.0,32.8,0.00,0.00,0,0,0
23:48:05,0.0,50.9,0.00,0.00,0,0,0
